id,supermarket,category,name,description,trademark,trademark_propietary_flag,price,reference_price,reference_unit,insert_date,price_corrected
25864302,dia.es,cuidado_personal|cuidado_bucal,ORAL B cabezal de recambio para cepillo cross action envase 2 uds,,oral b,False,14.99,7.5,ud,2023-03-15,False
25864713,dia.es,bebe|potitos_y_tarritos,HERO Baby buenas noches guisantes con jamón tarrito 2x190 gr,,hero b,False,3.59,9.45,kg,2023-03-15,False
25868831,mercadona.es,fruta_y_verdura|fruta,Moras,Bandeja,otras marcas,False,2.16,17.28,kg,2023-03-15,False
25860343,dia.es,platos_preparados|carne,GANCEDO callos a la madrileña envase 500 gr,,gancedo,False,3.97,7.94,kg,2023-03-15,False
25867686,mercadona.es,conservas_caldos_y_cremas|atun_y_otras_conservas_de_pescado,Ventresca de bonito del norte Hacendado en aceite de oliva,Lata,hacendado,True,4.0,49.383,kg,2023-03-15,False
25859373,carrefour.es,limpieza_y_hogar|utensilios_de_limpieza|bolsas_de_basura,Bolsas Basura de Material Reciclado CARREFOUR 50 l. 15 ud - Blanco,,otras marcas,False,1.99,0.13,ud,2023-03-15,False
25869677,mercadona.es,maquillaje|labios,Pintalabios mate Superstay Matte Ink Maybelline 65 Seductress,,otras marcas,False,8.5,8.5,ud,2023-03-15,False
25869244,mercadona.es,limpieza_y_hogar|insecticida_y_ambientador,Ambientador automático Ropa Limpia Bosque Verde,Bote,bosque verde,True,1.9,7.6,l,2023-03-15,False
25861702,dia.es,despensa|desayunos_y_dulces|caramelos_chicles_y_golosinas,SKITTLES caramelos ácidos crazy sours bolsa 174 gr,,skittles,False,2.99,17.18,kg,2023-03-15,False
25858336,carrefour.es,bebidas|refrescos|te,"Nestea té negro con limón bajo en calorías pack 2 botellas de 1,5 l.",,otras marcas,False,4.15,1.38,l,2023-03-15,False
25865821,mercadona.es,aperitivos|frutos_secos_y_fruta_desecada,Arándanos deshidratados Hacendado,Paquete,hacendado,True,2.4,12.0,kg,2023-03-15,False
25862395,dia.es,despensa|arroz_y_legumbres|legumbres,LUENGO lentenja pardina paquete 500 gr,,luengo,False,1.95,3.9,kg,2023-03-15,False
25859668,carrefour.es,limpieza_y_hogar|papeleria|lapices_y_accesorios,Gomas de Borrar Milan 4 uds,,otras marcas,False,1.49,0.37,ud,2023-03-15,False
25861978,dia.es,despensa|desayunos_y_dulces|infusiones,DIA infusión menta poleo estuche 25 bolsitas,,dia,False,0.95,0.95,ud,2023-03-15,False
25858931,carrefour.es,bebidas|vinos|generosos_y_dulces,Vino dulce Carrefour Pedro Ximenez D.O.Jerez-Xérés-Sherry 75 cl.,,carrefour,True,5.75,5.75,ud,2023-03-15,False
25864783,dia.es,cuidado_del_hogar|utensilios_de_limpieza,BAYECO guantes de latex talla M caja 30 uds,,bayeco,False,2.99,0.1,ud,2023-03-15,False
25866735,mercadona.es,carne|aves_y_pollo,Pechugas de pollo finas hierbas marinadas,Bandeja,otras marcas,False,4.94,7.6,kg,2023-03-15,False
25869235,mercadona.es,limpieza_y_hogar|insecticida_y_ambientador,Ambientador eléctrico Orquídea Bosque Verde,Caja,bosque verde,True,1.7,6.8,100ml,2023-03-15,False
25866003,mercadona.es,azucar_caramelos_y_chocolate|chicles_y_caramelos,Caramelos eucaliptus mentol Respiral Halls,Paquete,otras marcas,False,1.75,11.667,kg,2023-03-15,False
25859654,carrefour.es,limpieza_y_hogar|menaje|cafeteras_y_accesorios,Caja de 40 Filtros para Cafetera de Papel MELITA 1x2 - Beige,,otras marcas,False,3.49,0.09,ud,2023-03-15,False
25866368,mercadona.es,bodega|cerveza,Cerveza con sabor a tequila y ginger Desperados,Botellín,otras marcas,False,1.49,4.516,l,2023-03-15,False
25862051,dia.es,despensa|conservas|conservas_de_pescado,DIA MARI MARINERA sardinas picantonas lata 82 gr,,dia,True,1.25,15.24,kg,2023-03-15,False
25863587,dia.es,bodega|vino|generoso_y_dulce,TOPAZ vino blanco Pedro Ximénez DO Jerez botella 75 cl,,topaz,False,5.99,7.99,l,2023-03-15,False
25870375,mercadona.es,pizzas_y_platos_preparados|pizzas,Pizza serrana Hacendado,Caja,hacendado,True,4.0,10.0,kg,2023-03-15,False
25870129,mercadona.es,panaderia_y_pasteleria|bolleria_envasada,Dorayaki relleno de crema al cacao Hacendado,Paquete,hacendado,True,1.4,7.778,kg,2023-03-15,False
25860296,dia.es,despensa|aperitivos,Nuez premium malla 330 gr,,,,1.99,6.63,kg,2023-03-15,False
25865696,mercadona.es,agua_y_refrescos|refresco_de_te_y_sin_gas,Refresco té sabor limón Hacendado,Botella,hacendado,True,0.95,0.634,l,2023-03-15,False
25864147,dia.es,cuidado_personal|bano_e_higiene_personal|desodorantes,BYLY desodorante sensitive roll on 50 ml,,byly,False,1.95,39.0,l,2023-03-15,False
25862029,dia.es,despensa|conservas|conservas_de_pescado,DIA MARI MARINERA maravillas de mar al ajillo lata 50 gr,,dia,True,1.49,29.8,kg,2023-03-15,False
25863560,dia.es,bodega|vino|blanco,CASTILLO DE VELASCO vino de cocina DO Montilla Moriles botella 75 cl,,castillo de velasco,False,1.99,2.65,l,2023-03-15,False
25870316,mercadona.es,panaderia_y_pasteleria|picos_rosquilletas_y_picatostes,Palitos de pan con chocolate Anitin,Pack-2,otras marcas,False,1.4,8.14,kg,2023-03-15,False
25868550,mercadona.es,cuidado_facial_y_corporal|perfume_y_colonia,Eau de parfum mujer Elección,Frasco,otras marcas,False,9.0,9.0,100ml,2023-03-15,False
25864678,dia.es,bebe|potitos_y_tarritos,"HERO nanos plátano, fresa y manzana pouch 100 gr",,hero,False,1.35,13.5,kg,2023-03-15,False
